常用,#genre#
凤凰中文,http://183.204.13.237/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰香港,http://183.204.13.13/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8
海峡两岸,http://hls.cntv.myhwcdn.cn/asp/hls/1200/0303000a/3/default/93dafada4e35457788319f02f5063529/1200.m3u8
JJ斗地主,http://openhls-tct.douyucdn2.cn:80/dyliveflv1a/488743rAHScWyyII_2000.m3u8
JJ斗地主,http://tc-tct.douyucdn2.cn/dyliveflv1a/488743rAHScWyyII_2000.flv?wsAuth=fd695c444eeee99cc6122ed396c805ba&token=cpn-androidmpro-0-488743-df8b1830ef2e6ce156759645768df95bf77749da61fcc901&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
纬来体育,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
TVBS新聞,http://us1.qqvr.online:9000/live.m3u8?c=1
TVBS,http://us1.qqvr.online:9000/live.m3u8?c=2
中天新闻,http://154.yfvodcdn.com:8080/live/ztylt01/hls.m3u8
中天新闻,mitv://generationnexxxt.com:19806/bd9064ee198045a386f1f2dba5073f4e
中天新聞,http://us1.qqvr.online:9000/live.m3u8?c=3
tw,#genre#
中天亚洲台,http://livetv.skycf.eu.org/live.m3u8?c=3
台視新闻,http://livetv.skycf.eu.org/live.m3u8?c=4
TVBS新闻,http://livetv.skycf.eu.org/live.m3u8?c=5
中視新闻,http://livetv.skycf.eu.org/live.m3u8?c=6
中天新闻,http://livetv.skycf.eu.org/live.m3u8?c=7
公視,http://livetv.skycf.eu.org/live.m3u8?c=8
东森新闻,http://livetv.skycf.eu.org/live.m3u8?c=9
镜新闻,http://livetv.skycf.eu.org/live.m3u8?c=10
民視新闻,http://livetv.skycf.eu.org/live.m3u8?c=11
三立新闻,http://livetv.skycf.eu.org/live.m3u8?c=12
华視新闻,http://livetv.skycf.eu.org/live.m3u8?c=13
东森财经新闻,http://livetv.skycf.eu.org/live.m3u8?c=14
公视,http://livetv.skycf.eu.org/live.m3u8?c=8
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8
东森新闻,http://livetv.skycf.eu.org/live.m3u8?c=9
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
镜新闻,http://livetv.skycf.eu.org/live.m3u8?c=10
民视新闻台,http://livetv.skycf.eu.org/live.m3u8?c=11
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
华视新闻,http://livetv.skycf.eu.org/live.m3u8?c=13

CCTV,#genre#

CCTV1,http://106.115.26.98:9999/tsfile/live/1000_1.m3u8
CCTV1,http://106.115.27.203:9999/tsfile/live/1000_1.m3u8
CCTV1,http://106.115.25.221:9999/tsfile/live/1000_1.m3u8
CCTV1,http://106.115.25.165:9999/tsfile/live/1000_1.m3u8
CCTV1,http://106.115.25.33:9999/tsfile/live/1000_1.m3u8

CCTV4,http://106.115.26.98:9999/tsfile/live/1003_1.m3u8
CCTV4,http://106.115.27.203:9999/tsfile/live/1003_1.m3u8
CCTV4,http://106.115.25.221:9999/tsfile/live/1003_1.m3u8
CCTV4,http://106.115.25.165:9999/tsfile/live/1003_1.m3u8
CCTV4,http://106.115.25.33:9999/tsfile/live/1003_1.m3u8

CCTV13,http://106.115.26.98:9999/tsfile/live/0013_1.m3u8
CCTV13,http://106.115.27.203:9999/tsfile/live/0013_1.m3u8
CCTV13,http://106.115.25.221:9999/tsfile/live/0013_1.m3u8
CCTV13,http://106.115.25.165:9999/tsfile/live/0013_1.m3u8
CCTV13,http://106.115.25.33:9999/tsfile/live/0013_1.m3u8

浙江卫视,http://106.115.26.98:9999/tsfile/live/1017_1.m3u8
浙江卫视,http://106.115.27.203:9999/tsfile/live/1017_1.m3u8
浙江卫视,http://106.115.25.221:9999/tsfile/live/1017_1.m3u8
浙江卫视,http://106.115.25.165:9999/tsfile/live/1017_1.m3u8
浙江卫视,http://106.115.25.33:9999/tsfile/live/1017_1.m3u8
江苏卫视,http://106.115.26.98:9999/tsfile/live/1015_1.m3u8
江苏卫视,http://106.115.27.203:9999/tsfile/live/1015_1.m3u8
江苏卫视,http://106.115.25.221:9999/tsfile/live/1015_1.m3u8
江苏卫视,http://106.115.25.165:9999/tsfile/live/1015_1.m3u8
江苏卫视,http://106.115.25.33:9999/tsfile/live/1015_1.m3u8
湖南卫视,http://106.115.26.98:9999/tsfile/live/1012_1.m3u8
湖南卫视,http://106.115.27.203:9999/tsfile/live/1012_1.m3u8
湖南卫视,http://106.115.25.221:9999/tsfile/live/1012_1.m3u8
湖南卫视,http://106.115.25.165:9999/tsfile/live/1012_1.m3u8
湖南卫视,http://106.115.25.33:9999/tsfile/live/1012_1.m3u8
东方卫视,http://106.115.26.98:9999/tsfile/live/1016_1.m3u8
东方卫视,http://106.115.27.203:9999/tsfile/live/1016_1.m3u8
东方卫视,http://106.115.25.221:9999/tsfile/live/1016_1.m3u8
东方卫视,http://106.115.25.165:9999/tsfile/live/1016_1.m3u8
东方卫视,http://106.115.25.33:9999/tsfile/live/1016_1.m3u8
北京卫视,http://106.115.26.98:9999/tsfile/live/1011_1.m3u8
北京卫视,http://106.115.27.203:9999/tsfile/live/1011_1.m3u8
北京卫视,http://106.115.25.221:9999/tsfile/live/1011_1.m3u8
北京卫视,http://106.115.25.165:9999/tsfile/live/1011_1.m3u8
北京卫视,http://106.115.25.33:9999/tsfile/live/1011_1.m3u8
深圳卫视,http://106.115.26.98:9999/tsfile/live/1014_1.m3u8
深圳卫视,http://106.115.27.203:9999/tsfile/live/1014_1.m3u8
深圳卫视,http://106.115.25.221:9999/tsfile/live/1014_1.m3u8
深圳卫视,http://106.115.25.165:9999/tsfile/live/1014_1.m3u8
深圳卫视,http://106.115.25.33:9999/tsfile/live/1014_1.m3u8
天津卫视,http://106.115.26.98:9999/tsfile/live/1018_1.m3u8
天津卫视,http://106.115.27.203:9999/tsfile/live/1018_1.m3u8
天津卫视,http://106.115.25.221:9999/tsfile/live/1018_1.m3u8
天津卫视,http://106.115.25.165:9999/tsfile/live/1018_1.m3u8
天津卫视,http://106.115.25.33:9999/tsfile/live/1018_1.m3u8
广西卫视,http://106.115.26.98:9999/tsfile/live/0113_1.m3u8
广西卫视,http://106.115.27.203:9999/tsfile/live/0113_1.m3u8
广西卫视,http://106.115.25.221:9999/tsfile/live/0113_1.m3u8
广西卫视,http://106.115.25.165:9999/tsfile/live/0113_1.m3u8
广西卫视,http://106.115.25.33:9999/tsfile/live/0113_1.m3u8
广东卫视,http://106.115.26.98:9999/tsfile/live/0125_1.m3u8
广东卫视,http://106.115.27.203:9999/tsfile/live/0125_1.m3u8
广东卫视,http://106.115.25.221:9999/tsfile/live/0125_1.m3u8
广东卫视,http://106.115.25.165:9999/tsfile/live/0125_1.m3u8
广东卫视,http://106.115.25.33:9999/tsfile/live/0125_1.m3u8
湖北卫视,http://106.115.26.98:9999/tsfile/live/0132_1.m3u8
湖北卫视,http://106.115.27.203:9999/tsfile/live/0132_1.m3u8
湖北卫视,http://106.115.25.221:9999/tsfile/live/0132_1.m3u8
湖北卫视,http://106.115.25.165:9999/tsfile/live/0132_1.m3u8
湖北卫视,http://106.115.25.33:9999/tsfile/live/0132_1.m3u8
四川卫视,http://106.115.26.98:9999/tsfile/live/0123_1.m3u8
四川卫视,http://106.115.27.203:9999/tsfile/live/0123_1.m3u8
四川卫视,http://106.115.25.221:9999/tsfile/live/0123_1.m3u8
四川卫视,http://106.115.25.165:9999/tsfile/live/0123_1.m3u8
四川卫视,http://106.115.25.33:9999/tsfile/live/0123_1.m3u8
重庆卫视,http://106.115.26.98:9999/tsfile/live/0142_1.m3u8
重庆卫视,http://106.115.27.203:9999/tsfile/live/0142_1.m3u8
重庆卫视,http://106.115.25.221:9999/tsfile/live/0142_1.m3u8
重庆卫视,http://106.115.25.165:9999/tsfile/live/0142_1.m3u8
重庆卫视,http://106.115.25.33:9999/tsfile/live/0142_1.m3u8
贵州卫视,http://106.115.26.98:9999/tsfile/live/0120_1.m3u8
贵州卫视,http://106.115.27.203:9999/tsfile/live/0120_1.m3u8
贵州卫视,http://106.115.25.221:9999/tsfile/live/0120_1.m3u8
贵州卫视,http://106.115.25.165:9999/tsfile/live/0120_1.m3u8
贵州卫视,http://106.115.25.33:9999/tsfile/live/0120_1.m3u8
山东卫视,http://106.115.26.98:9999/tsfile/live/0131_1.m3u8
山东卫视,http://106.115.27.203:9999/tsfile/live/0131_1.m3u8
山东卫视,http://106.115.25.221:9999/tsfile/live/0131_1.m3u8
山东卫视,http://106.115.25.165:9999/tsfile/live/0131_1.m3u8
山东卫视,http://106.115.25.33:9999/tsfile/live/0131_1.m3u8
河北卫视,http://106.115.26.98:9999/tsfile/live/0117_1.m3u8
河北卫视,http://106.115.27.203:9999/tsfile/live/0117_1.m3u8
河北卫视,http://106.115.25.221:9999/tsfile/live/0117_1.m3u8
河北卫视,http://106.115.25.165:9999/tsfile/live/0117_1.m3u8
河北卫视,http://106.115.25.33:9999/tsfile/live/0117_1.m3u8
河南卫视,http://106.115.26.98:9999/tsfile/live/0139_1.m3u8
河南卫视,http://106.115.27.203:9999/tsfile/live/0139_1.m3u8
河南卫视,http://106.115.25.221:9999/tsfile/live/0139_1.m3u8
河南卫视,http://106.115.25.165:9999/tsfile/live/0139_1.m3u8
河南卫视,http://106.115.25.33:9999/tsfile/live/0139_1.m3u8
山西卫视,http://106.115.26.98:9999/tsfile/live/0118_1.m3u8
安徽卫视,http://106.115.26.98:9999/tsfile/live/0130_1.m3u8
安徽卫视,http://106.115.27.203:9999/tsfile/live/0130_1.m3u8
安徽卫视,http://106.115.25.221:9999/tsfile/live/0130_1.m3u8
安徽卫视,http://106.115.25.165:9999/tsfile/live/0130_1.m3u8
安徽卫视,http://106.115.25.33:9999/tsfile/live/0130_1.m3u8
东南卫视,http://106.115.26.98:9999/tsfile/live/0137_1.m3u8
东南卫视,http://106.115.27.203:9999/tsfile/live/0137_1.m3u8
东南卫视,http://106.115.25.221:9999/tsfile/live/0137_1.m3u8
东南卫视,http://106.115.25.165:9999/tsfile/live/0137_1.m3u8
东南卫视,http://106.115.25.33:9999/tsfile/live/0137_1.m3u8
江西卫视,http://106.115.26.98:9999/tsfile/live/0138_1.m3u8
江西卫视,http://106.115.27.203:9999/tsfile/live/0138_1.m3u8
江西卫视,http://106.115.25.221:9999/tsfile/live/0138_1.m3u8
江西卫视,http://106.115.25.165:9999/tsfile/live/0138_1.m3u8
江西卫视,http://106.115.25.33:9999/tsfile/live/0138_1.m3u8
辽宁卫视,http://106.115.26.98:9999/tsfile/live/0121_1.m3u8
辽宁卫视,http://106.115.27.203:9999/tsfile/live/0121_1.m3u8
辽宁卫视,http://106.115.25.221:9999/tsfile/live/0121_1.m3u8
辽宁卫视,http://106.115.25.165:9999/tsfile/live/0121_1.m3u8
辽宁卫视,http://106.115.25.33:9999/tsfile/live/0121_1.m3u8
吉林卫视,http://106.115.26.98:9999/tsfile/live/0116_1.m3u8
吉林卫视,http://106.115.27.203:9999/tsfile/live/0116_1.m3u8
吉林卫视,http://106.115.25.221:9999/tsfile/live/0116_1.m3u8
吉林卫视,http://106.115.25.165:9999/tsfile/live/0116_1.m3u8
吉林卫视,http://106.115.25.33:9999/tsfile/live/0116_1.m3u8
黑龙江卫视,http://106.115.26.98:9999/tsfile/live/1013_1.m3u8
黑龙江卫视,http://106.115.27.203:9999/tsfile/live/1013_1.m3u8
黑龙江卫视,http://106.115.25.221:9999/tsfile/live/1013_1.m3u8
黑龙江卫视,http://106.115.25.165:9999/tsfile/live/1013_1.m3u8
黑龙江卫视,http://106.115.25.33:9999/tsfile/live/1013_1.m3u8
金鹰卡通,http://106.115.26.98:9999/tsfile/live/1020_1.m3u8

国际,#genre#
Bloomberg TV,mitv://generationnexxxt.com:19806/885bb543b9cb4bbeb5bcfe518fb90780
BBC World News,mitv://generationnexxxt.com:19806/ecc7214268ee448ab42b65d9f2e2663a
CNBC,mitv://generationnexxxt.com:19806/b642a4ce45734a7190f0acbd8cd462dd
CNA,mitv://generationnexxxt.com:19806/52b67f21b37b4764a87c33dd46844fdb
CNN,mitv://generationnexxxt.com:19806/cc0fd522ff3f4f37a53773c138dacac1
BBC World News,mitv://generationnexxxt.com:19806/6579228c000c47523171f9583333664f
CNN USA,mitv://generationnexxxt.com:19806/6579228c000644123171f7d14c4002bd
CBC News,mitv://generationnexxxt.com:19806/6579228b000ea7c13171f60c6a0d21f3
MSNBC,mitv://generationnexxxt.com:19806/6579228b000782ab3171f43764692427
CTV News,mitv://generationnexxxt.com:19806/6579228b0000fa413171f29242d67919
